Column1,Actual,Predicted,Column2,Column3,Long,Short,,,
0,158.85,155.57028,,,FALSE,FALSE,,152,
1,159.35,155.68436,0.31%,0.07%,1,FALSE,,,
2,159,155.60358,-0.22%,-0.05%,FALSE,1,,246,152
3,159.65,155.61337,0.41%,0.01%,1,FALSE,,,0.617886179
4,160.3,154.92432,0.41%,-0.44%,FALSE,FALSE,,,
5,164.75,156.13043,2.78%,0.78%,1,FALSE,,,
6,164.45,158.26096,-0.18%,1.36%,FALSE,FALSE,,,
7,170.6,160.51305,3.74%,1.42%,1,FALSE,,,
8,168.6,162.2167,-1.17%,1.06%,FALSE,FALSE,,,
9,164.85,161.7941,-2.22%,-0.26%,FALSE,1,,,
10,161.6,160.46693,-1.97%,-0.82%,FALSE,1,,,
11,159.45,157.9586,-1.33%,-1.56%,FALSE,1,,,
12,167.2,156.99586,4.86%,-0.61%,FALSE,FALSE,,,
13,169.55,159.77632,1.41%,1.77%,1,FALSE,,,
14,167.4,161.73727,-1.27%,1.23%,FALSE,FALSE,,,
15,162.55,160.78311,-2.90%,-0.59%,FALSE,1,,,
16,165.2,159.67761,1.63%,-0.69%,FALSE,FALSE,,,
17,164.6,159.66621,-0.36%,-0.01%,FALSE,1,,,
18,162.25,159.3445,-1.43%,-0.20%,FALSE,1,,,
19,162.2,158.1844,-0.03%,-0.73%,FALSE,1,,,
20,154.25,155.41994,-4.90%,-1.75%,FALSE,1,,,
21,155.4,153.31734,0.75%,-1.35%,FALSE,FALSE,,,
22,153.9,151.77567,-0.97%,-1.01%,FALSE,1,,,
23,150.5,150.33986,-2.21%,-0.95%,FALSE,1,,,
24,153.1,148.79855,1.73%,-1.03%,FALSE,FALSE,,,
25,152.95,149.30627,-0.10%,0.34%,FALSE,FALSE,,,
26,155.45,149.84966,1.63%,0.36%,1,FALSE,,,
27,155.45,151.272,0.00%,0.95%,FALSE,FALSE,,,
28,157.1,152.37129,1.06%,0.73%,1,FALSE,,,
29,158.5,153.46399,0.89%,0.72%,1,FALSE,,,
30,156.5,153.41292,-1.26%,-0.03%,FALSE,1,,,
31,154.4,153.00003,-1.34%,-0.27%,FALSE,1,,,
32,152.1,151.60138,-1.49%,-0.91%,FALSE,1,,,
33,151.15,150.09956,-0.62%,-0.99%,FALSE,1,,,
34,154.45,149.06389,2.18%,-0.69%,FALSE,FALSE,,,
35,151.9,149.3921,-1.65%,0.22%,FALSE,FALSE,,,
36,150.65,149.06854,-0.82%,-0.22%,FALSE,1,,,
37,154.15,148.27493,2.32%,-0.53%,FALSE,FALSE,,,
38,153.8,149.09889,-0.23%,0.56%,FALSE,FALSE,,,
39,154.9,149.93657,0.72%,0.56%,1,FALSE,,,
40,155.5,150.63185,0.39%,0.46%,1,FALSE,,,
41,154.3,151.14922,-0.77%,0.34%,FALSE,FALSE,,,
42,153.5,150.67183,-0.52%,-0.32%,FALSE,1,,,
43,152.9,149.57596,-0.39%,-0.73%,FALSE,1,,,
44,155.2,149.50601,1.50%,-0.05%,FALSE,FALSE,,,
45,153.5,149.6676,-1.10%,0.11%,FALSE,FALSE,,,
46,156.55,149.95946,1.99%,0.20%,1,FALSE,,,
47,156.8,151.15546,0.16%,0.80%,1,FALSE,,,
48,158.7,152.33607,1.21%,0.78%,1,FALSE,,,
49,159.2,153.72119,0.32%,0.91%,1,FALSE,,,
50,160.65,155.12277,0.91%,0.91%,1,FALSE,,,
51,160.35,154.90402,-0.19%,-0.14%,FALSE,1,,,
52,157.2,155.04742,-1.96%,0.09%,FALSE,FALSE,,,
53,153.75,153.36755,-2.19%,-1.08%,FALSE,1,,,
54,151.8,151.34462,-1.27%,-1.32%,FALSE,1,,,
55,149.8,148.82617,-1.32%,-1.66%,FALSE,1,,,
56,155.45,147.80533,3.77%,-0.69%,FALSE,FALSE,,,
57,154.95,148.85052,-0.32%,0.71%,FALSE,FALSE,,,
58,158.7,150.28134,2.42%,0.96%,1,FALSE,,,
59,167.05,153.87192,5.26%,2.39%,1,FALSE,,,
60,167.85,158.85815,0.48%,3.24%,1,FALSE,,,
61,169.2,161.47798,0.80%,1.65%,1,FALSE,,,
62,174.35,163.5033,3.04%,1.25%,1,FALSE,,,
63,174.8,166.314,0.26%,1.72%,1,FALSE,,,
64,172.75,167.34438,-1.17%,0.62%,FALSE,FALSE,,,
65,171.1,166.98293,-0.96%,-0.22%,FALSE,1,,,
66,167.8,165.09254,-1.93%,-1.13%,FALSE,1,,,
67,169.5,163.09729,1.01%,-1.21%,FALSE,FALSE,,,
68,167.3,162.39168,-1.30%,-0.43%,FALSE,1,,,
69,167.95,161.82736,0.39%,-0.35%,FALSE,FALSE,,,
70,162.35,160.20425,-3.33%,-1.00%,FALSE,1,,,
71,162.9,159.37686,0.34%,-0.52%,FALSE,FALSE,,,
72,163.55,158.75304,0.40%,-0.39%,FALSE,FALSE,,,
73,167.05,159.13577,2.14%,0.24%,1,FALSE,,,
74,166,160.3883,-0.63%,0.79%,FALSE,FALSE,,,
75,163.7,159.93343,-1.39%,-0.28%,FALSE,1,,,
76,168.65,159.528,3.02%,-0.25%,FALSE,FALSE,,,
77,169.35,160.93916,0.42%,0.88%,1,FALSE,,,
78,174.85,162.0254,3.25%,0.67%,1,FALSE,,,
79,171.2,162.09798,-2.09%,0.04%,FALSE,FALSE,,,
80,171.1,162.95618,-0.06%,0.53%,FALSE,FALSE,,,
81,154.05,157.3134,-9.96%,-3.46%,FALSE,1,,,
82,153,153.73807,-0.68%,-2.27%,FALSE,1,,,
83,150.3,149.24629,-1.76%,-2.92%,FALSE,1,,,
84,147.5,146.81291,-1.86%,-1.63%,FALSE,1,,,
85,149.1,145.12257,1.08%,-1.15%,FALSE,FALSE,,,
86,148.9,144.26277,-0.13%,-0.59%,FALSE,1,,,
87,156.25,144.69176,4.94%,0.30%,1,FALSE,,,
88,156.4,148.91074,0.10%,2.92%,1,FALSE,,,
89,156.45,151.25958,0.03%,1.58%,1,FALSE,,,
90,157.55,151.78796,0.70%,0.35%,1,FALSE,,,
91,155.55,152.04495,-1.27%,0.17%,FALSE,FALSE,,,
92,153.1,151.5018,-1.58%,-0.36%,FALSE,1,,,
93,153.45,150.65695,0.23%,-0.56%,FALSE,FALSE,,,
94,150.7,149.42305,-1.79%,-0.82%,FALSE,1,,,
95,144.75,146.31786,-3.95%,-2.08%,FALSE,1,,,
96,144.2,143.46722,-0.38%,-1.95%,FALSE,1,,,
97,147.3,142.32632,2.15%,-0.80%,FALSE,FALSE,,,
98,146.4,142.86327,-0.61%,0.38%,FALSE,FALSE,,,
99,144.55,143.24472,-1.26%,0.27%,FALSE,FALSE,,,
100,145,142.8478,0.31%,-0.28%,FALSE,FALSE,,,
101,142.45,142.00919,-1.76%,-0.59%,FALSE,1,,,
102,144.6,141.21043,1.51%,-0.56%,FALSE,FALSE,,,
103,145.1,141.66458,0.35%,0.32%,1,FALSE,,,
104,146.7,142.51248,1.10%,0.60%,1,FALSE,,,
105,148.35,143.76968,1.12%,0.88%,1,FALSE,,,
106,149.45,145.03833,0.74%,0.88%,1,FALSE,,,
107,151.3,145.90222,1.24%,0.60%,1,FALSE,,,
108,152.85,147.60576,1.02%,1.17%,1,FALSE,,,
109,152.95,148.87154,0.07%,0.86%,1,FALSE,,,
110,156.1,149.94853,2.06%,0.72%,1,FALSE,,,
111,157.85,151.1312,1.12%,0.79%,1,FALSE,,,
112,156.15,152.56836,-1.08%,0.95%,FALSE,FALSE,,,
113,157.45,152.98825,0.83%,0.28%,1,FALSE,,,
114,150.5,151.31784,-4.41%,-1.09%,FALSE,1,,,
115,153.05,149.92996,1.69%,-0.92%,FALSE,FALSE,,,
116,152.75,149.4934,-0.20%,-0.29%,FALSE,1,,,
117,153.1,149.19109,0.23%,-0.20%,FALSE,FALSE,,,
118,154.4,149.62723,0.85%,0.29%,1,FALSE,,,
119,151.45,149.51556,-1.91%,-0.07%,FALSE,1,,,
120,152.2,148.59828,0.50%,-0.61%,FALSE,FALSE,,,
121,151.55,148.4287,-0.43%,-0.11%,FALSE,1,,,
122,153.5,148.18503,1.29%,-0.16%,FALSE,FALSE,,,
123,154.25,149.11261,0.49%,0.63%,1,FALSE,,,
124,150.05,148.21994,-2.72%,-0.60%,FALSE,1,,,
125,148,146.92015,-1.37%,-0.88%,FALSE,1,,,
126,141.8,143.99213,-4.19%,-1.99%,FALSE,1,,,
127,142.75,141.00922,0.67%,-2.07%,FALSE,FALSE,,,
128,142.9,140.17172,0.11%,-0.59%,FALSE,FALSE,,,
129,142.85,140.10936,-0.03%,-0.04%,FALSE,1,,,
130,143.65,140.51611,0.56%,0.29%,1,FALSE,,,
131,143.4,141.18896,-0.17%,0.48%,FALSE,FALSE,,,
132,141.4,140.68315,-1.39%,-0.36%,FALSE,1,,,
133,141.3,139.77612,-0.07%,-0.64%,FALSE,1,,,
134,143.15,139.25465,1.31%,-0.37%,FALSE,FALSE,,,
135,142.7,139.9397,-0.31%,0.49%,FALSE,FALSE,,,
136,142.55,140.01297,-0.11%,0.05%,FALSE,FALSE,,,
137,145.65,140.69395,2.17%,0.49%,1,FALSE,,,
138,145.15,141.59238,-0.34%,0.64%,FALSE,FALSE,,,
139,143.8,141.81044,-0.93%,0.15%,FALSE,FALSE,,,
140,143.3,141.30197,-0.35%,-0.36%,FALSE,1,,,
141,142.55,140.1974,-0.52%,-0.78%,FALSE,1,,,
142,140.9,139.13107,-1.16%,-0.76%,FALSE,1,,,
143,140.4,138.41254,-0.35%,-0.52%,FALSE,1,,,
144,135.95,136.87627,-3.17%,-1.11%,FALSE,1,,,
145,139.7,135.4086,2.76%,-1.07%,FALSE,FALSE,,,
146,139.8,136.09848,0.07%,0.51%,1,FALSE,,,
147,141.2,136.95436,1.00%,0.63%,1,FALSE,,,
148,142.7,138.61676,1.06%,1.21%,1,FALSE,,,
149,142,139.6804,-0.49%,0.77%,FALSE,FALSE,,,
150,141.1,139.75531,-0.63%,0.05%,FALSE,FALSE,,,
151,140.35,139.11525,-0.53%,-0.46%,FALSE,1,,,
152,140.2,138.52263,-0.11%,-0.43%,FALSE,1,,,
153,138.9,137.79129,-0.93%,-0.53%,FALSE,1,,,
154,140.55,137.42685,1.19%,-0.26%,FALSE,FALSE,,,
155,141.75,137.84929,0.85%,0.31%,1,FALSE,,,
156,144.05,138.93149,1.62%,0.79%,1,FALSE,,,
157,144.85,140.49696,0.56%,1.13%,1,FALSE,,,
158,143.6,141.32733,-0.86%,0.59%,FALSE,FALSE,,,
159,143.35,141.3608,-0.17%,0.02%,FALSE,FALSE,,,
160,141.15,140.65668,-1.53%,-0.50%,FALSE,1,,,
161,143.05,139.53561,1.35%,-0.80%,FALSE,FALSE,,,
162,143.15,139.95251,0.07%,0.30%,1,FALSE,,,
163,140.7,139.12971,-1.71%,-0.59%,FALSE,1,,,
164,141,138.66104,0.21%,-0.34%,FALSE,FALSE,,,
165,140.45,138.01535,-0.39%,-0.47%,FALSE,1,,,
166,142.15,137.22186,1.21%,-0.57%,FALSE,FALSE,,,
167,138.95,137.76747,-2.25%,0.40%,FALSE,FALSE,,,
168,141.35,137.4827,1.73%,-0.21%,FALSE,FALSE,,,
169,144.25,138.35144,2.05%,0.63%,1,FALSE,,,
170,148.2,140.22914,2.74%,1.36%,1,FALSE,,,
171,149.85,143.34062,1.11%,2.22%,1,FALSE,,,
172,147.85,144.3673,-1.33%,0.72%,FALSE,FALSE,,,
173,148.3,145.03986,0.30%,0.47%,1,FALSE,,,
174,146.2,144.50792,-1.42%,-0.37%,FALSE,1,,,
175,149.05,144.4094,1.95%,-0.07%,FALSE,FALSE,,,
176,152.05,145.45622,2.01%,0.72%,1,FALSE,,,
177,152.05,147.34927,0.00%,1.30%,FALSE,FALSE,,,
178,152.9,148.33415,0.56%,0.67%,1,FALSE,,,
179,155.95,149.46574,1.99%,0.76%,1,FALSE,,,
180,157.25,151.0954,0.83%,1.09%,1,FALSE,,,
181,157.1,152.64209,-0.10%,1.02%,FALSE,FALSE,,,
182,156.5,153.28664,-0.38%,0.42%,FALSE,FALSE,,,
183,156.8,153.38443,0.19%,0.06%,1,FALSE,,,
184,156.35,153.31937,-0.29%,-0.04%,FALSE,1,,,
185,154.95,152.61429,-0.90%,-0.46%,FALSE,1,,,
186,160.5,152.7798,3.58%,0.11%,1,FALSE,,,
187,160.45,154.63034,-0.03%,1.21%,FALSE,FALSE,,,
188,159.8,155.49232,-0.41%,0.56%,FALSE,FALSE,,,
189,158.05,155.04622,-1.10%,-0.29%,FALSE,1,,,
190,161.05,154.45277,1.90%,-0.38%,FALSE,FALSE,,,
191,157.25,152.90941,-2.36%,-1.00%,FALSE,1,,,
192,154.7,152.51541,-1.62%,-0.26%,FALSE,1,,,
193,153.1,151.3927,-1.03%,-0.74%,FALSE,1,,,
194,147.5,147.90692,-3.66%,-2.30%,FALSE,1,,,
195,148.2,145.92923,0.47%,-1.34%,FALSE,FALSE,,,
196,144.75,144.4832,-2.33%,-0.99%,FALSE,1,,,
197,143.45,143.10542,-0.90%,-0.95%,FALSE,1,,,
198,145.15,142.02345,1.19%,-0.76%,FALSE,FALSE,,,
199,146.75,142.30006,1.10%,0.19%,1,FALSE,,,
200,147,143.24461,0.17%,0.66%,1,FALSE,,,
201,147.45,144.03506,0.31%,0.55%,1,FALSE,,,
202,146.7,144.27197,-0.51%,0.16%,FALSE,FALSE,,,
203,146.2,143.99986,-0.34%,-0.19%,FALSE,1,,,
204,146.65,143.8438,0.31%,-0.11%,FALSE,FALSE,,,
205,145.55,143.9177,-0.75%,0.05%,FALSE,FALSE,,,
206,146.8,143.61934,0.86%,-0.21%,FALSE,FALSE,,,
207,149.3,143.83202,1.70%,0.15%,1,FALSE,,,
208,148.9,144.88759,-0.27%,0.73%,FALSE,FALSE,,,
209,147.65,145.29956,-0.84%,0.28%,FALSE,FALSE,,,
210,145.05,144.04927,-1.76%,-0.86%,FALSE,1,,,
211,145.5,143.09315,0.31%,-0.66%,FALSE,FALSE,,,
212,142.4,141.72646,-2.13%,-0.96%,FALSE,1,,,
213,141.8,140.35904,-0.42%,-0.96%,FALSE,1,,,
214,143.65,139.80333,1.30%,-0.40%,FALSE,FALSE,,,
215,145.35,140.11742,1.18%,0.22%,1,FALSE,,,
216,144.55,141.31473,-0.55%,0.85%,FALSE,FALSE,,,
217,147.7,141.8229,2.18%,0.36%,1,FALSE,,,
218,143.95,141.03946,-2.54%,-0.55%,FALSE,1,,,
219,144.3,140.63307,0.24%,-0.29%,FALSE,FALSE,,,
220,154.55,139.05392,7.10%,-1.12%,FALSE,FALSE,,,
221,156.55,145.66064,1.29%,4.75%,1,FALSE,,,
222,160.1,150.70946,2.27%,3.47%,1,FALSE,,,
223,160.35,154.94318,0.16%,2.81%,1,FALSE,,,
224,163.55,156.84239,2.00%,1.23%,1,FALSE,,,
225,167.6,159.19019,2.48%,1.50%,1,FALSE,,,
226,169.5,161.66432,1.13%,1.55%,1,FALSE,,,
227,167.7,163.86034,-1.06%,1.36%,FALSE,FALSE,,,
228,164,162.61545,-2.21%,-0.76%,FALSE,1,,,
229,165,161.12793,0.61%,-0.91%,FALSE,FALSE,,,
230,162.4,160.24968,-1.58%,-0.55%,FALSE,1,,,
231,163.25,159.1783,0.52%,-0.67%,FALSE,FALSE,,,
232,163.85,159.55441,0.37%,0.24%,1,FALSE,,,
233,165.45,159.18542,0.98%,-0.23%,FALSE,FALSE,,,
234,158.75,158.07195,-4.05%,-0.70%,FALSE,1,,,
235,161.85,157.22949,1.95%,-0.53%,FALSE,FALSE,,,
236,159.6,157.13339,-1.39%,-0.06%,FALSE,1,,,
237,164.2,156.83177,2.88%,-0.19%,FALSE,FALSE,,,
238,162,158.0414,-1.34%,0.77%,FALSE,FALSE,,,
239,158.05,157.2812,-2.44%,-0.48%,FALSE,1,,,
240,159.45,156.13673,0.89%,-0.73%,FALSE,FALSE,,,
241,160.05,155.70886,0.38%,-0.27%,FALSE,FALSE,,,
242,160.15,156.04536,0.06%,0.22%,1,FALSE,,,
243,155.55,155.14494,-2.87%,-0.58%,FALSE,1,,,
244,155.8,153.54643,0.16%,-1.03%,FALSE,FALSE,,,